Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Conversions,Cost per conversion,Leads,Conversion Rate,Sale_Amount,Ad_Date,Location,Device,Keyword
A1077,Data Analytics Corse,99,4779,477.90,$233.78,10,$23.38,26,0.101,"$1,086",2024-11-05,hyderabad,DESKTOP,online data analytic
A1078,Data Anlytics Corse,86,5352,1070.40,$234.05,5,$46.81,11,0.058,"$1,364",2024-11-09,hydrebad,TABLET,online data analytic
A1079,Data Analytcis Course,118,5405,772.14,$187.28,7,$26.75,25,0.058,"$1,836",2024-11-05,hydrebad,TABLET,analytics for data
A1080,Data Analytcis Course,127,5430,905.00,$199.13,6,$33.19,14,0.047,"$1,932",2024/11/25,hydrebad,Mobile,analytics for data
A1081,Data Analytics Corse,83,4808,686.86,$241.35,7,$34.48,20,0.084,"$1,038",30-11-2024,Hyderbad,mobile,learn data analytics
A1082,Data Analytcis Course,149,3587,448.38,$217.53,8,$27.19,23,,,17-11-2024,hydrebad,Mobile,data analitics online
A1083,DataAnalyticsCourse,168,4683,585.38,$215.28,8,$26.91,30,0.048,"$1,327",2024/11/28,HYDERABAD,Mobile,data analitics online
A1084,DataAnalyticsCourse,112,5814,726.75,$227.38,8,$28.42,11,0.071,"$1,467",2024-11-03,Hyderbad,Tablet,analytics for data
A1085,DataAnalyticsCourse,123,3292,548.67,$233.20,6,$38.87,28,0.049,"$1,174",2024-11-19,HYDERABAD,Desktop,data anaytics training
A1086,Data Anlytics Corse,174,4305,1435.00,$206.02,3,$68.67,20,0.034,"$1,057",2024/11/23,HYDERABAD,desktop,learn data analytics
A1087,Data Analytics Corse,143,4368,624.00,,7,0,27,0.049,"$1,199",03-11-2024,hydrebad,tablet,analytics for data
A1088,Data Analytcis Course,195,5935,659.44,$209.68,9,$23.30,23,0.046,"$1,966",2024-11-07,hydrebad,tablet,online data analytic
A1089,DataAnalyticsCourse,176,5847,974.50,$241.04,6,$40.17,13,0.034,"$1,194",2024-11-02,hyderabad,DESKTOP,online data analytic
A1090,Data Anlytics Corse,141,4851,970.20,$227.39,5,$45.48,28,,"$1,821",2024/11/15,HYDERABAD,desktop,analytics for data
A1091,Data Analytics Corse,108,4710,471.00,$204.16,10,$20.42,19,0.093,"$1,731",2024/11/20,Hyderbad,tablet,data analitics online
A1092,Data Anlytics Corse,112,3345,557.50,,6,0,11,0.047,"$1,859",2024-11-23,Hyderbad,TABLET,analytics for data
A1093,DataAnalyticsCourse,,5903,655.89,$184.41,9,$20.49,23,,"$1,188",20-11-2024,Hyderbad,tablet,online data analytic
A1094,Data Analytcis Course,145,5004,1000.80,$216.45,5,$43.29,22,0.034,"$1,496",2024-11-01,hydrebad,tablet,data analitics online
A1095,Data Anlytics Corse,183,3947,493.38,$197.30,8,$24.66,15,0.044,"$1,645",2024-11-14,Hyderbad,Desktop,data anaytics training
A1096,DataAnalyticsCourse,113,3690,738.00,$229.42,5,$45.88,20,0.044,"$1,915",2024-11-28,HYDERABAD,tablet,learn data analytics
A1097,Data Analytcis Course,101,5943,990.50,$187.32,6,$31.22,27,0.059,"$1,614",2024-11-15,hydrebad,TABLET,data analitics online
A1098,DataAnalyticsCourse,189,5357,1785.67,$222.50,3,$74.17,24,0.05,"$1,839",2024-11-25,hydrebad,tablet,data analytics course
A1099,Data Anlytics Corse,154,3596,399.56,$236.14,9,$26.24,30,0.058,"$1,036",2024/11/06,HYDERABAD,tablet,online data analytic
A1100,Data Anlytics Corse,179,5162,1032.40,$246.76,5,$49.35,16,0.05,"$1,052",2024-11-29,Hyderbad,DESKTOP,online data analytic
A1101,Data Analytics Corse,148,3747,468.38,$244.41,8,$30.55,18,0.054,"$1,092",2024/11/17,HYDERABAD,Tablet,learn data analytics
A1102,Data Anlytics Corse,177,4822,535.78,$197.03,9,$21.89,26,0.051,"$1,909",2024-11-04,Hyderbad,Mobile,online data analytic
A1103,Data Analytcis Course,119,5800,725.00,$221.36,8,$27.67,11,,,29-11-2024,hydrebad,Desktop,analytics for data
A1104,Data Analytcis Course,89,3594,599.00,,6,0,14,0.067,"$1,026",2024/11/15,HYDERABAD,tablet,data analytics course
A1105,Data Analytcis Course,146,4765,953.00,$230.22,5,$46.04,23,0.034,"$1,944",2024/11/28,hyderabad,Tablet,analytics for data
A1106,Data Analytics Corse,109,4128,825.60,$183.65,5,$36.73,12,,,2024-11-30,HYDERABAD,Desktop,data analitics online
A1107,Data Anlytics Corse,159,5127,1281.75,$197.16,4,$49.29,21,0.025,"$1,867",2024-11-03,hyderabad,tablet,learn data analytics
A1108,Data Anlytics Corse,144,5674,1891.33,$235.36,3,$78.45,12,0.021,"$1,505",2024-11-22,hyderabad,desktop,analytics for data
A1109,Data Anlytics Corse,122,3793,474.13,$237.22,8,$29.65,19,0.066,"$1,842",2024-11-20,hyderabad,tablet,online data analytic
A1110,Data Analytics Corse,112,4315,479.44,$235.33,9,$26.15,28,0.08,"$1,116",2024/11/08,HYDERABAD,MOBILE,data analytics course
A1111,DataAnalyticsCourse,174,4704,470.40,$192.32,10,$19.23,21,0.049,"$1,501",2024/11/24,HYDERABAD,MOBILE,learn data analytics
A1112,Data Analytics Corse,168,3349,372.11,$235.60,9,$26.18,23,0.054,"$1,894",2024-11-09,hyderabad,Mobile,online data analytic
A1113,DataAnalyticsCourse,173,3501,350.10,$223.90,10,$22.39,28,0.044,"$1,179",2024/11/25,Hyderbad,Mobile,data analytics course
A1114,Data Analytics Corse,91,,0.00,$203.52,9,$22.61,,0.099,"$1,838",20-11-2024,hydrebad,DESKTOP,data analytics course
A1115,Data Analytcis Course,140,5405,675.63,$195.69,8,$24.46,21,,"$1,094",21-11-2024,hyderabad,Desktop,data anaytics training
A1116,DataAnalyticsCourse,93,3425,856.25,$229.76,4,$57.44,26,0.043,"$1,344",24-11-2024,Hyderbad,Mobile,online data analytic
A1117,Data Analytcis Course,114,5263,1052.60,$189.13,5,$37.83,23,0.044,"$1,434",05-11-2024,HYDERABAD,Mobile,data analytics course
A1118,Data Anlytics Corse,172,3889,388.90,,10,0,21,,"$1,766",2024-11-16,HYDERABAD,TABLET,online data analytic
A1119,Data Analytcis Course,188,3327,554.50,$193.76,6,$32.29,24,0.047,"$1,220",03-11-2024,hydrebad,Tablet,online data analytic
A1120,Data Anlytics Corse,117,,0.00,$214.18,4,$53.55,29,0.034,"$1,348",2024/11/23,hyderabad,MOBILE,learn data analytics
A1121,DataAnalyticsCourse,113,5471,607.89,$215.57,9,$23.95,27,0.038,"$1,123",2024-11-23,hyderabad,Mobile,analytics for data
A1122,Data Analytics Corse,109,3550,443.75,$240.33,8,$30.04,14,0.073,"$1,982",2024-11-24,hyderabad,Tablet,learn data analytics
A1123,Data Anlytics Corse,174,3178,317.80,$225.67,10,$22.57,18,0.057,"$1,140",20-11-2024,HYDERABAD,Desktop,data analitics online
A1124,DataAnalyticsCourse,96,4673,934.60,$192.88,5,$38.58,24,0.052,"$1,962",2024-11-10,HYDERABAD,MOBILE,learn data analytics
A1125,Data Analytcis Course,110,4254,1063.50,$187.87,4,$46.97,11,,"$1,172",2024-11-04,hyderabad,MOBILE,data anaytics training
A1126,Data Anlytics Corse,163,3658,522.57,$237.63,7,$33.95,23,0.043,"$1,699",2024-11-23,Hyderbad,TABLET,online data analytic
A1127,DataAnalyticsCourse,161,5319,1329.75,$235.98,4,$59.00,13,0.025,"$1,423",2024-11-18,Hyderbad,Mobile,learn data analytics
A1128,DataAnalyticsCourse,195,5278,754.00,$193.49,7,$27.64,30,0.047,"$1,456",2024/11/04,hyderabad,Mobile,data analytics course
A1129,Data Anlytics Corse,84,3755,417.22,$218.88,9,$24.32,14,0.047,"$1,299",2024/11/05,Hyderbad,TABLET,analytics for data
A1130,Data Anlytics Corse,113,4580,763.33,$194.82,6,$32.47,11,0.059,"$1,248",2024/11/28,Hyderbad,tablet,data analytics course
A1131,Data Analytics Corse,117,3809,761.80,$225.14,5,$45.03,12,0.032,"$1,495",2024-11-09,hydrebad,DESKTOP,data anaytics training
A1132,DataAnalyticsCourse,135,5118,853.00,$219.99,6,$36.67,27,0.044,"$1,089",2024-11-20,hyderabad,MOBILE,online data analytic
A1133,Data Anlytics Corse,92,5766,823.71,$186.14,7,$26.59,28,0.076,"$1,013",27-11-2024,HYDERABAD,TABLET,data anaytics training
A1134,Data Analytcis Course,188,3934,437.11,$206.21,9,$22.91,16,0.048,,04-11-2024,hydrebad,Desktop,data analytics course
A1135,Data Analytcis Course,101,4724,674.86,$228.38,7,$32.63,13,0.034,"$1,243",2024-11-20,hyderabad,Desktop,learn data analytics
A1136,Data Anlytics Corse,111,5895,1473.75,$205.25,4,$51.31,29,0.036,"$1,693",2024-11-04,HYDERABAD,Mobile,data analytics course
A1137,Data Analytics Corse,122,4048,404.80,$202.23,10,$20.22,28,0.082,,26-11-2024,hyderabad,mobile,online data analytic
A1138,Data Analytcis Course,99,3169,528.17,$237.68,6,$39.61,21,,"$1,509",2024-11-22,hydrebad,Mobile,online data analytic
A1139,DataAnalyticsCourse,154,4535,1511.67,$229.29,3,$76.43,11,0.019,"$1,434",2024/11/01,HYDERABAD,TABLET,data anaytics training
A1140,Data Anlytics Corse,129,3849,384.90,$249.29,10,$24.93,22,0.078,"$1,767",2024/11/11,HYDERABAD,desktop,analytics for data
A1141,Data Analytcis Course,,4259,425.90,$182.98,10,$18.30,10,0.031,"$1,048",16-11-2024,hyderabad,MOBILE,analytics for data
A1142,DataAnalyticsCourse,143,3628,403.11,,9,0,18,0.063,"$1,566",17-11-2024,hydrebad,tablet,data analytics course
A1143,Data Analytics Corse,80,3269,817.25,,4,0,12,0.05,"$1,753",23-11-2024,Hyderbad,Desktop,data analitics online
A1144,Data Anlytics Corse,134,3724,413.78,$188.02,9,$20.89,26,0.047,"$1,891",2024/11/07,hydrebad,DESKTOP,online data analytic
A1145,Data Anlytics Corse,174,4838,1612.67,$242.35,3,$80.78,21,0.017,"$1,599",2024-11-22,HYDERABAD,desktop,data analitics online
A1146,Data Analytics Corse,196,4524,565.50,$192.01,8,$24.00,15,0.041,"$1,048",2024-11-13,hyderabad,desktop,data analytics course
A1147,Data Analytics Corse,194,4694,670.57,$228.15,7,$32.59,17,0.036,"$1,874",2024-11-14,hyderabad,Tablet,learn data analytics
A1148,Data Analytics Corse,180,4326,#DIV/0!,$221.67,,#DIV/0!,13,,"$1,427",06-11-2024,Hyderbad,TABLET,online data analytic
A1149,Data Analytcis Course,100,4235,529.38,$222.61,8,$27.83,10,0.051,"$1,814",01-11-2024,hyderabad,Desktop,data anaytics training
A1150,Data Anlytics Corse,153,4367,485.22,$184.51,9,$20.50,29,0.059,"$1,507",2024-11-13,HYDERABAD,MOBILE,analytics for data
A1151,Data Anlytics Corse,110,3748,416.44,$198.68,9,$22.08,24,0.082,"$1,041",05-11-2024,Hyderbad,TABLET,data anaytics training
A1152,Data Analytics Corse,116,3901,975.25,,4,0,21,0.034,"$1,483",2024-11-13,hyderabad,Tablet,online data analytic
A1153,Data Analytics Corse,156,3335,476.43,$236.98,7,$33.85,29,0.045,"$1,143",2024-11-14,Hyderbad,desktop,data analytics course
A1154,Data Analytics Corse,177,5671,945.17,$210.74,6,$35.12,19,0.058,"$1,172",25-11-2024,HYDERABAD,Tablet,data analytics course
A1155,DataAnalyticsCourse,89,3408,378.67,$214.78,9,$23.86,25,0.101,"$1,898",2024/11/15,hydrebad,Mobile,data analytics course
A1156,DataAnalyticsCourse,155,4422,552.75,$183.96,8,$23.00,14,0.037,"$1,143",2024/11/15,hydrebad,MOBILE,analytics for data
A1157,Data Analytcis Course,123,3097,387.13,$190.55,8,$23.82,20,0.065,"$1,640",2024/11/22,Hyderbad,tablet,data analytics course
A1158,Data Analytics Corse,102,3621,724.20,$244.82,5,$48.96,10,0.049,"$1,375",2024/11/12,hydrebad,MOBILE,learn data analytics
A1159,Data Analytics Corse,150,4806,534.00,$244.53,9,$27.17,15,,"$1,602",07-11-2024,hydrebad,Mobile,data analitics online
A1160,Data Anlytics Corse,160,,0.00,$245.87,6,$40.98,11,0.037,,2024-11-05,Hyderbad,DESKTOP,analytics for data
A1161,Data Anlytics Corse,143,3901,975.25,$191.38,4,$47.85,29,0.053,"$1,786",2024-11-24,HYDERABAD,MOBILE,learn data analytics
A1162,Data Anlytics Corse,178,4673,778.83,$222.46,6,$37.08,29,0.051,"$1,219",2024/11/04,hydrebad,tablet,online data analytic
A1163,DataAnalyticsCourse,152,3542,393.56,$208.96,9,$23.22,13,,"$1,735",2024/11/13,Hyderbad,desktop,data analytics course
A1164,DataAnalyticsCourse,139,4347,869.40,$238.19,5,$47.64,26,,"$1,384",13-11-2024,hydrebad,tablet,analytics for data
A1165,Data Analytcis Course,175,5014,716.29,$247.24,7,$35.32,25,0.04,"$1,499",15-11-2024,hydrebad,MOBILE,learn data analytics
A1166,Data Analytics Corse,92,4185,465.00,$218.46,9,$24.27,21,0.035,"$1,567",2024/11/03,Hyderbad,mobile,data analitics online
A1167,DataAnalyticsCourse,123,5964,994.00,,6,0,17,,"$1,363",2024/11/03,hydrebad,desktop,data anaytics training
A1168,Data Analytcis Course,86,5124,512.40,$183.71,10,$18.37,13,0.116,"$1,137",20-11-2024,HYDERABAD,MOBILE,data anaytics training
A1169,Data Anlytics Corse,117,4162,416.20,$238.08,10,$23.81,28,0.085,"$1,186",2024/11/22,hydrebad,MOBILE,online data analytic
A1170,Data Analytcis Course,146,4330,1443.33,$191.90,3,$63.97,20,0.021,"$1,748",2024/11/09,HYDERABAD,MOBILE,online data analytic
A1171,Data Analytcis Course,89,3268,817.00,,4,0,17,0.045,"$1,233",2024/11/13,hyderabad,DESKTOP,online data analytic
A1172,DataAnalyticsCourse,195,3483,497.57,$213.99,7,$30.57,27,0.036,"$1,796",23-11-2024,hyderabad,Desktop,learn data analytics
A1173,Data Analytcis Course,170,4519,645.57,$240.63,7,$34.38,22,0.041,"$1,012",27-11-2024,Hyderbad,MOBILE,analytics for data
A1174,Data Analytcis Course,97,3605,515.00,$240.29,7,$34.33,21,0.045,"$1,682",2024-11-10,HYDERABAD,Desktop,data analitics online
A1175,Data Anlytics Corse,159,5076,507.60,$204.97,10,$20.50,15,0.063,"$1,638",17-11-2024,Hyderbad,tablet,data analytics course
A1176,Data Anlytics Corse,131,5352,535.20,$225.86,10,$22.59,24,,"$1,961",2024-11-20,HYDERABAD,mobile,online data analytic
A1177,Data Analytics Corse,108,5503,786.14,$185.26,7,$26.47,11,0.065,"$1,921",06-11-2024,hydrebad,Mobile,data analitics online
A1178,DataAnalyticsCourse,93,4308,478.67,$209.83,9,$23.31,19,0.097,"$1,694",2024-11-20,hyderabad,mobile,data analytics course
A1179,Data Analytcis Course,137,3555,1185.00,$213.50,3,$71.17,29,,,2024/11/06,hyderabad,DESKTOP,data analytics course
A1180,Data Analytics Corse,81,5615,935.83,$193.14,6,$32.19,30,0.074,"$1,255",2024/11/28,hyderabad,MOBILE,analytics for data
A1181,Data Analytcis Course,160,4743,474.30,$206.22,10,$20.62,23,0.062,"$1,825",2024/11/20,hydrebad,mobile,learn data analytics
A1182,Data Anlytics Corse,186,3337,417.13,$183.58,8,$22.95,16,0.043,"$1,045",2024-11-30,HYDERABAD,Desktop,online data analytic
A1183,Data Analytcis Course,105,3234,323.40,$238.80,10,$23.88,27,0.095,"$1,248",2024/11/06,Hyderbad,Desktop,online data analytic
A1184,Data Analytcis Course,131,3913,391.30,$203.69,10,$20.37,14,,"$1,079",2024/11/25,Hyderbad,DESKTOP,data anaytics training
A1185,Data Analytcis Course,129,3208,401.00,$204.20,8,$25.53,18,0.032,"$1,456",2024-11-29,hyderabad,Desktop,learn data analytics
A1186,Data Anlytics Corse,187,5972,853.14,$220.64,7,$31.52,30,0.037,"$1,980",2024-11-14,Hyderbad,Desktop,data analytics course
A1187,Data Analytics Corse,167,3662,523.14,$235.43,7,$33.63,10,0.042,"$1,684",2024-11-25,Hyderbad,MOBILE,data anaytics training
A1188,DataAnalyticsCourse,140,3359,479.86,$182.13,7,$26.02,29,0.045,"$1,973",2024/11/28,hydrebad,desktop,data analitics online
A1189,Data Analytics Corse,198,3700,740.00,$220.67,5,$44.13,14,,"$1,531",2024/11/10,hyderabad,MOBILE,analytics for data
A1190,Data Anlytics Corse,196,3835,426.11,$218.07,9,$24.23,10,0.041,"$1,871",04-11-2024,hyderabad,TABLET,online data analytic
A1191,Data Analytics Corse,140,5638,1127.60,$208.02,5,$41.60,22,,"$1,652",2024-11-18,Hyderbad,desktop,data anaytics training
A1192,Data Analytics Corse,157,5825,1941.67,$230.60,3,$76.87,16,0.019,"$1,041",2024-11-16,hydrebad,desktop,data anaytics training
