Ad_ID,Campaign_Name,Clicks,Impressions,Impressions per conversion,Cost,Leads,Conversions,Conversion Rate,Cost per conversion,Sale_Amount,Ad_Date,Location,Device,Keyword
A1021,data analytics corse,171,4154,593.4285714285714,184.23,30,7,0.041,26.318571428571428,1803.0,2024-11-08,hyderabad,tablet,data analitics online
A1022,data analytcis course,122,5187,864.5,211.24,27,6,0.049,35.20666666666667,1322.0,2024-11-20,hyderabad,desktop,online data analytic
A1023,data anlytics corse,188,5798,1159.6,230.17,28,5,0.047,46.034,1452.0,2024-11-30,hyderabad,tablet,data analytics course
A1024,data analytics course,87,3718,1239.3333333333333,213.9,12,3,0.034,71.3,1652.0,2024-11-20,hyderbad,tablet,learn data analytics
A1025,data analytics course,88,3349,418.625,181.92,22,8,0.091,22.74,1456.0,2024-11-20,hyderabad,tablet,learn data analytics
A1026,data anlytics corse,119,5323,532.3,205.92,17,10,0.06,20.592,1656.0,2024-11-02,hyderbad,desktop,online data analytic
A1027,data analytics corse,139,5286,528.6,234.89,22,10,0.047,23.488999999999997,1688.0,2024-11-21,hyderabad,desktop,data anaytics training
A1028,data anlytics corse,128,5469,1823.0,188.49,16,3,0.047,62.830000000000005,1783.0,2024-11-23,hyderbad,mobile,learn data analytics
A1029,data analytcis course,86,3351,372.3333333333333,237.75,21,9,0.105,26.416666666666668,1975.0,2024-11-13,hyderabad,mobile,analytics for data
A1030,data analytics corse,188,4834,1208.5,213.58,15,4,0.021,53.395,1590.0,2024-11-08,hyderbad,tablet,online data analytic
A1031,data analytics course,113,5065,1013.0,212.37,11,5,0.047,42.474000000000004,1111.0,2024-11-22,hyderabad,desktop,online data analytic
A1032,data analytcis course,139,3872,968.0,244.38,20,4,0.047,61.095,1041.0,2024-11-12,hyderabad,tablet,data analitics online
A1033,data analytics corse,176,5509,787.0,234.59,19,7,0.054,33.51285714285714,1710.0,2024-11-03,hyderbad,tablet,data analytics course
A1034,data analytcis course,121,5610,701.25,214.96,23,8,0.047,26.87,1482.0,2024-11-25,hyderabad,mobile,data analytics course
A1035,data analytics course,104,5275,586.1111111111111,236.48,16,9,0.031,26.275555555555556,1824.0,2024-11-01,hyderabad,desktop,data anaytics training
A1036,data anlytics corse,146,5939,742.375,242.9,11,8,0.035,30.3625,1833.0,2024-11-07,hyderabad,desktop,data anaytics training
A1037,data analytcis course,123,5131,1026.2,213.9,19,5,0.041,42.78,1307.0,2024-11-09,hydrebad,mobile,learn data analytics
A1038,data analytcis course,90,5786,964.3333333333334,197.55,11,6,0.043,32.925000000000004,1704.0,2024-11-16,hyderabad,mobile,online data analytic
A1039,data analytcis course,171,4304,430.4,192.61,17,10,0.058,19.261000000000003,1427.0,2024-11-26,hydrebad,mobile,learn data analytics
A1040,data analytics corse,94,5549,616.5555555555555,231.23,25,9,0.096,25.69222222222222,1849.0,2024-11-12,hyderbad,mobile,data anaytics training
A1041,data analytics corse,112,4271,711.8333333333334,196.07,27,6,0.047,32.678333333333335,1209.0,2024-11-14,hyderabad,desktop,data analitics online
A1042,data analytcis course,113,4418,441.8,191.55,27,10,0.047,19.155,1634.0,2024-11-09,hyderbad,mobile,data analytics course
A1043,data anlytics corse,145,3721,531.5714285714286,180.95,21,7,0.048,25.849999999999998,1960.0,2024-11-29,hydrebad,desktop,data analitics online
A1044,data analytics course,197,5783,963.8333333333334,204.46,23,6,0.047,34.07666666666667,1729.0,2024-11-01,hydrebad,tablet,data anaytics training
A1045,data analytics course,109,4866,973.2,236.78,27,5,0.047,47.356,1585.0,2024-11-15,hyderabad,mobile,online data analytic
A1046,data anlytics corse,188,5857,1464.25,222.98,20,4,0.048,55.745,1303.0,2024-11-11,hyderabad,desktop,data anaytics training
A1047,data analytics corse,142,5103,1701.0,234.1,24,3,0.021,78.03333333333333,1835.0,2024-11-08,hyderbad,mobile,analytics for data
A1048,data analytcis course,168,4653,517.0,240.84,27,9,0.054,26.76,1367.0,2024-11-24,hydrebad,mobile,online data analytic
A1049,data analytcis course,110,3524,352.4,248.86,19,10,0.091,24.886000000000003,1524.0,2024-11-21,hyderbad,mobile,learn data analytics
A1050,data analytcis course,192,5938,1187.6,182.84,26,5,0.039,36.568,1080.0,2024-11-12,hydrebad,mobile,analytics for data
A1051,data analytics corse,101,3942,788.4,206.62,16,5,0.05,41.324,1746.0,2024-11-24,hyderabad,tablet,analytics for data
A1052,data analytics corse,157,3315,331.5,189.56,15,10,0.064,18.956,1026.0,2024-11-25,hyderabad,mobile,online data analytic
A1053,data anlytics corse,113,4945,494.5,187.66,15,10,0.047,18.766,1564.0,2024-11-26,hyderabad,tablet,learn data analytics
A1054,data analytcis course,96,3166,452.2857142857143,196.15,29,7,0.073,28.021428571428572,1902.0,2024-11-26,hyderabad,desktop,learn data analytics
A1055,data analytcis course,125,4223,703.8333333333334,183.68,15,6,0.047,30.613333333333333,1267.0,2024-11-05,hyderabad,desktop,data analitics online
A1056,data analytcis course,104,4798,1599.3333333333333,210.1,18,3,0.047,70.03333333333333,1340.0,2024-11-21,hyderabad,desktop,analytics for data
A1057,data anlytics corse,194,5655,942.5,208.58,13,6,0.031,34.763333333333335,1692.0,2024-11-16,hydrebad,mobile,data anaytics training
A1058,data analytics course,144,5140,642.5,219.48,19,8,0.047,27.435,1054.0,2024-11-18,hyderbad,desktop,data analitics online
A1059,data analytics corse,179,3025,1008.3333333333334,238.81,17,3,0.017,79.60333333333334,1482.0,2024-11-11,hyderabad,mobile,data analitics online
A1060,data analytics corse,166,5223,746.1428571428571,189.76,18,7,0.042,27.108571428571427,1219.0,2024-11-16,hyderbad,tablet,data analytics course
A1061,data analytcis course,166,5089,727.0,213.9,26,7,0.042,30.557142857142857,1946.0,2024-11-11,hyderbad,tablet,analytics for data
A1062,data anlytics corse,118,5016,557.3333333333334,204.31,19,9,0.045,22.70111111111111,1833.0,2024-11-08,hyderabad,desktop,analytics for data
A1063,data analytics course,185,3617,516.7142857142857,222.32,24,7,0.038,31.759999999999998,1963.0,2024-11-23,hyderabad,mobile,data analytics course
A1064,data analytcis course,116,3764,376.4,232.03,28,10,0.086,23.203,1348.0,2024-11-20,hyderabad,tablet,data analytics course
A1065,data analytics corse,99,4489,748.1666666666666,183.73,15,6,0.061,30.621666666666666,1264.0,2024-11-05,hyderabad,desktop,online data analytic
A1066,data analytics course,172,4441,555.125,221.18,14,8,0.047,27.6475,1771.0,2024-11-27,hyderabad,mobile,analytics for data
A1067,data analytcis course,138,5751,639.0,199.11,26,9,0.052,22.123333333333335,1337.0,2024-11-10,hyderbad,desktop,data analitics online
A1068,data analytcis course,84,4036,403.6,234.22,23,10,0.119,23.422,1287.0,2024-11-04,hyderbad,desktop,learn data analytics
A1069,data analytics course,124,4942,1647.3333333333333,240.59,18,3,0.024,80.19666666666667,1922.0,2024-11-16,hydrebad,desktop,learn data analytics
A1070,data analytcis course,122,4989,997.8,215.48,12,5,0.041,43.096,1975.0,2024-11-06,hyderabad,mobile,data analitics online
A1071,data analytics corse,180,3006,429.42857142857144,228.14,22,7,0.039,32.59142857142857,1556.0,2024-11-04,hyderabad,tablet,learn data analytics
A1072,data analytics course,133,3728,372.8,199.13,11,10,0.047,19.913,1482.0,2024-11-09,hyderabad,desktop,data analitics online
A1073,data analytics course,164,3734,466.75,225.39,27,8,0.04,28.17375,1728.0,2024-11-12,hyderabad,tablet,learn data analytics
A1074,data analytics corse,150,4621,770.1666666666666,246.3,15,6,0.049,41.050000000000004,1554.0,2024-11-09,hyderabad,desktop,data analitics online
A1075,data analytcis course,97,3212,321.2,212.55,27,10,0.103,21.255000000000003,1994.0,2024-11-23,hyderabad,desktop,analytics for data
A1076,data anlytics corse,128,4225,1056.25,228.24,30,4,0.031,57.06,1618.0,2024-11-08,hyderbad,mobile,learn data analytics
A1077,data analytics corse,99,4779,477.9,233.78,26,10,0.101,23.378,1086.0,2024-11-05,hyderabad,desktop,online data analytic
A1078,data anlytics corse,86,5352,1070.4,234.05,11,5,0.058,46.81,1364.0,2024-11-09,hydrebad,tablet,online data analytic
A1079,data analytcis course,118,5405,772.1428571428571,187.28,25,7,0.058,26.754285714285714,1836.0,2024-11-05,hydrebad,tablet,analytics for data
A1080,data analytcis course,127,5430,905.0,199.13,14,6,0.047,33.18833333333333,1932.0,2024-11-25,hydrebad,mobile,analytics for data
A1081,data analytics corse,83,4808,686.8571428571429,241.35,20,7,0.084,34.47857142857143,1038.0,2024-11-30,hyderbad,mobile,learn data analytics
A1082,data analytcis course,149,3587,448.375,217.53,23,8,0.047,27.19125,1482.0,2024-11-17,hydrebad,mobile,data analitics online
A1083,data analytics course,168,4683,585.375,215.28,30,8,0.048,26.91,1327.0,2024-11-28,hyderabad,mobile,data analitics online
A1084,data analytics course,112,5814,726.75,227.38,11,8,0.071,28.4225,1467.0,2024-11-03,hyderbad,tablet,analytics for data
A1085,data analytics course,123,3292,548.6666666666666,233.2,28,6,0.049,38.86666666666667,1174.0,2024-11-19,hyderabad,desktop,data anaytics training
A1086,data anlytics corse,174,4305,1435.0,206.02,20,3,0.034,68.67333333333333,1057.0,2024-11-23,hyderabad,desktop,learn data analytics
A1087,data analytics corse,143,4368,624.0,213.9,27,7,0.049,30.557142857142857,1199.0,2024-11-03,hydrebad,tablet,analytics for data
A1088,data analytcis course,195,5935,659.4444444444445,209.68,23,9,0.046,23.297777777777778,1966.0,2024-11-07,hydrebad,tablet,online data analytic
A1089,data analytics course,176,5847,974.5,241.04,13,6,0.034,40.17333333333333,1194.0,2024-11-02,hyderabad,desktop,online data analytic
A1090,data anlytics corse,141,4851,970.2,227.39,28,5,0.047,45.477999999999994,1821.0,2024-11-15,hyderabad,desktop,analytics for data
A1091,data analytics corse,108,4710,471.0,204.16,19,10,0.093,20.416,1731.0,2024-11-20,hyderbad,tablet,data analitics online
A1092,data anlytics corse,112,3345,557.5,213.9,11,6,0.047,35.65,1859.0,2024-11-23,hyderbad,tablet,analytics for data
A1093,data analytics course,139,5903,655.8888888888889,184.41,23,9,0.047,20.49,1188.0,2024-11-20,hyderbad,tablet,online data analytic
A1094,data analytcis course,145,5004,1000.8,216.45,22,5,0.034,43.29,1496.0,2024-11-01,hydrebad,tablet,data analitics online
A1095,data anlytics corse,183,3947,493.375,197.3,15,8,0.044,24.6625,1645.0,2024-11-14,hyderbad,desktop,data anaytics training
A1096,data analytics course,113,3690,738.0,229.42,20,5,0.044,45.884,1915.0,2024-11-28,hyderabad,tablet,learn data analytics
A1097,data analytcis course,101,5943,990.5,187.32,27,6,0.059,31.22,1614.0,2024-11-15,hydrebad,tablet,data analitics online
A1098,data analytics course,189,5357,1785.6666666666667,222.5,24,3,0.05,74.16666666666667,1839.0,2024-11-25,hydrebad,tablet,data analytics course
A1099,data anlytics corse,154,3596,399.55555555555554,236.14,30,9,0.058,26.237777777777776,1036.0,2024-11-06,hyderabad,tablet,online data analytic
A1100,data anlytics corse,179,5162,1032.4,246.76,16,5,0.05,49.352,1052.0,2024-11-29,hyderbad,desktop,online data analytic
A1101,data analytics corse,148,3747,468.375,244.41,18,8,0.054,30.55125,1092.0,2024-11-17,hyderabad,tablet,learn data analytics
A1102,data anlytics corse,177,4822,535.7777777777778,197.03,26,9,0.051,21.892222222222223,1909.0,2024-11-04,hyderbad,mobile,online data analytic
A1103,data analytcis course,119,5800,725.0,221.36,11,8,0.047,27.67,1482.0,2024-11-29,hydrebad,desktop,analytics for data
A1104,data analytcis course,89,3594,599.0,213.9,14,6,0.067,35.65,1026.0,2024-11-15,hyderabad,tablet,data analytics course
A1105,data analytcis course,146,4765,953.0,230.22,23,5,0.034,46.044,1944.0,2024-11-28,hyderabad,tablet,analytics for data
A1106,data analytics corse,109,4128,825.6,183.65,12,5,0.047,36.730000000000004,1482.0,2024-11-30,hyderabad,desktop,data analitics online
A1107,data anlytics corse,159,5127,1281.75,197.16,21,4,0.025,49.29,1867.0,2024-11-03,hyderabad,tablet,learn data analytics
A1108,data anlytics corse,144,5674,1891.3333333333333,235.36,12,3,0.021,78.45333333333333,1505.0,2024-11-22,hyderabad,desktop,analytics for data
A1109,data anlytics corse,122,3793,474.125,237.22,19,8,0.066,29.6525,1842.0,2024-11-20,hyderabad,tablet,online data analytic
A1110,data analytics corse,112,4315,479.44444444444446,235.33,28,9,0.08,26.14777777777778,1116.0,2024-11-08,hyderabad,mobile,data analytics course
A1111,data analytics course,174,4704,470.4,192.32,21,10,0.049,19.232,1501.0,2024-11-24,hyderabad,mobile,learn data analytics
A1112,data analytics corse,168,3349,372.1111111111111,235.6,23,9,0.054,26.177777777777777,1894.0,2024-11-09,hyderabad,mobile,online data analytic
A1113,data analytics course,173,3501,350.1,223.9,28,10,0.044,22.39,1179.0,2024-11-25,hyderbad,mobile,data analytics course
A1114,data analytics corse,91,4534,503.77777777777777,203.52,20,9,0.099,22.613333333333333,1838.0,2024-11-20,hydrebad,desktop,data analytics course
A1115,data analytcis course,140,5405,675.625,195.69,21,8,0.047,24.46125,1094.0,2024-11-21,hyderabad,desktop,data anaytics training
A1116,data analytics course,93,3425,856.25,229.76,26,4,0.043,57.44,1344.0,2024-11-24,hyderbad,mobile,online data analytic
A1117,data analytcis course,114,5263,1052.6,189.13,23,5,0.044,37.826,1434.0,2024-11-05,hyderabad,mobile,data analytics course
A1118,data anlytics corse,172,3889,388.9,213.9,21,10,0.047,21.39,1766.0,2024-11-16,hyderabad,tablet,online data analytic
A1119,data analytcis course,188,3327,554.5,193.76,24,6,0.047,32.29333333333333,1220.0,2024-11-03,hydrebad,tablet,online data analytic
A1120,data anlytics corse,117,4534,1133.5,214.18,29,4,0.034,53.545,1348.0,2024-11-23,hyderabad,mobile,learn data analytics
A1121,data analytics course,113,5471,607.8888888888889,215.57,27,9,0.038,23.952222222222222,1123.0,2024-11-23,hyderabad,mobile,analytics for data
A1122,data analytics corse,109,3550,443.75,240.33,14,8,0.073,30.04125,1982.0,2024-11-24,hyderabad,tablet,learn data analytics
A1123,data anlytics corse,174,3178,317.8,225.67,18,10,0.057,22.567,1140.0,2024-11-20,hyderabad,desktop,data analitics online
A1124,data analytics course,96,4673,934.6,192.88,24,5,0.052,38.576,1962.0,2024-11-10,hyderabad,mobile,learn data analytics
A1125,data analytcis course,110,4254,1063.5,187.87,11,4,0.047,46.9675,1172.0,2024-11-04,hyderabad,mobile,data anaytics training
A1126,data anlytics corse,163,3658,522.5714285714286,237.63,23,7,0.043,33.94714285714286,1699.0,2024-11-23,hyderbad,tablet,online data analytic
A1127,data analytics course,161,5319,1329.75,235.98,13,4,0.025,58.995,1423.0,2024-11-18,hyderbad,mobile,learn data analytics
A1128,data analytics course,195,5278,754.0,193.49,30,7,0.047,27.641428571428573,1456.0,2024-11-04,hyderabad,mobile,data analytics course
A1129,data anlytics corse,84,3755,417.22222222222223,218.88,14,9,0.047,24.32,1299.0,2024-11-05,hyderbad,tablet,analytics for data
A1130,data anlytics corse,113,4580,763.3333333333334,194.82,11,6,0.059,32.47,1248.0,2024-11-28,hyderbad,tablet,data analytics course
A1131,data analytics corse,117,3809,761.8,225.14,12,5,0.032,45.028,1495.0,2024-11-09,hydrebad,desktop,data anaytics training
A1132,data analytics course,135,5118,853.0,219.99,27,6,0.044,36.665,1089.0,2024-11-20,hyderabad,mobile,online data analytic
A1133,data anlytics corse,92,5766,823.7142857142857,186.14,28,7,0.076,26.59142857142857,1013.0,2024-11-27,hyderabad,tablet,data anaytics training
A1134,data analytcis course,188,3934,437.1111111111111,206.21,16,9,0.048,22.912222222222223,1482.0,2024-11-04,hydrebad,desktop,data analytics course
A1135,data analytcis course,101,4724,674.8571428571429,228.38,13,7,0.034,32.62571428571429,1243.0,2024-11-20,hyderabad,desktop,learn data analytics
A1136,data anlytics corse,111,5895,1473.75,205.25,29,4,0.036,51.3125,1693.0,2024-11-04,hyderabad,mobile,data analytics course
A1137,data analytics corse,122,4048,404.8,202.23,28,10,0.082,20.223,1482.0,2024-11-26,hyderabad,mobile,online data analytic
A1138,data analytcis course,99,3169,528.1666666666666,237.68,21,6,0.047,39.61333333333334,1509.0,2024-11-22,hydrebad,mobile,online data analytic
A1139,data analytics course,154,4535,1511.6666666666667,229.29,11,3,0.019,76.42999999999999,1434.0,2024-11-01,hyderabad,tablet,data anaytics training
A1140,data anlytics corse,129,3849,384.9,249.29,22,10,0.078,24.929,1767.0,2024-11-11,hyderabad,desktop,analytics for data
A1141,data analytcis course,139,4259,425.9,182.98,10,10,0.031,18.298,1048.0,2024-11-16,hyderabad,mobile,analytics for data
A1142,data analytics course,143,3628,403.1111111111111,213.9,18,9,0.063,23.766666666666666,1566.0,2024-11-17,hydrebad,tablet,data analytics course
A1143,data analytics corse,80,3269,817.25,213.9,12,4,0.05,53.475,1753.0,2024-11-23,hyderbad,desktop,data analitics online
A1144,data anlytics corse,134,3724,413.77777777777777,188.02,26,9,0.047,20.891111111111112,1891.0,2024-11-07,hydrebad,desktop,online data analytic
A1145,data anlytics corse,174,4838,1612.6666666666667,242.35,21,3,0.017,80.78333333333333,1599.0,2024-11-22,hyderabad,desktop,data analitics online
A1146,data analytics corse,196,4524,565.5,192.01,15,8,0.041,24.00125,1048.0,2024-11-13,hyderabad,desktop,data analytics course
A1147,data analytics corse,194,4694,670.5714285714286,228.15,17,7,0.036,32.59285714285714,1874.0,2024-11-14,hyderabad,tablet,learn data analytics
A1148,data analytics corse,180,4326,618.0,221.67,13,7,0.047,31.667142857142856,1427.0,2024-11-06,hyderbad,tablet,online data analytic
A1149,data analytcis course,100,4235,529.375,222.61,10,8,0.051,27.82625,1814.0,2024-11-01,hyderabad,desktop,data anaytics training
A1150,data anlytics corse,153,4367,485.22222222222223,184.51,29,9,0.059,20.50111111111111,1507.0,2024-11-13,hyderabad,mobile,analytics for data
A1151,data anlytics corse,110,3748,416.44444444444446,198.68,24,9,0.082,22.075555555555557,1041.0,2024-11-05,hyderbad,tablet,data anaytics training
A1152,data analytics corse,116,3901,975.25,213.9,21,4,0.034,53.475,1483.0,2024-11-13,hyderabad,tablet,online data analytic
A1153,data analytics corse,156,3335,476.42857142857144,236.98,29,7,0.045,33.854285714285716,1143.0,2024-11-14,hyderbad,desktop,data analytics course
A1154,data analytics corse,177,5671,945.1666666666666,210.74,19,6,0.058,35.123333333333335,1172.0,2024-11-25,hyderabad,tablet,data analytics course
A1155,data analytics course,89,3408,378.6666666666667,214.78,25,9,0.101,23.864444444444445,1898.0,2024-11-15,hydrebad,mobile,data analytics course
A1156,data analytics course,155,4422,552.75,183.96,14,8,0.037,22.995,1143.0,2024-11-15,hydrebad,mobile,analytics for data
A1157,data analytcis course,123,3097,387.125,190.55,20,8,0.065,23.81875,1640.0,2024-11-22,hyderbad,tablet,data analytics course
A1158,data analytics corse,102,3621,724.2,244.82,10,5,0.049,48.964,1375.0,2024-11-12,hydrebad,mobile,learn data analytics
A1159,data analytics corse,150,4806,534.0,244.53,15,9,0.047,27.17,1602.0,2024-11-07,hydrebad,mobile,data analitics online
A1160,data anlytics corse,160,4534,755.6666666666666,245.87,11,6,0.037,40.97833333333333,1482.0,2024-11-05,hyderbad,desktop,analytics for data
A1161,data anlytics corse,143,3901,975.25,191.38,29,4,0.053,47.845,1786.0,2024-11-24,hyderabad,mobile,learn data analytics
A1162,data anlytics corse,178,4673,778.8333333333334,222.46,29,6,0.051,37.07666666666667,1219.0,2024-11-04,hydrebad,tablet,online data analytic
A1163,data analytics course,152,3542,393.55555555555554,208.96,13,9,0.047,23.21777777777778,1735.0,2024-11-13,hyderbad,desktop,data analytics course
A1164,data analytics course,139,4347,869.4,238.19,26,5,0.047,47.638,1384.0,2024-11-13,hydrebad,tablet,analytics for data
A1165,data analytcis course,175,5014,716.2857142857143,247.24,25,7,0.04,35.32,1499.0,2024-11-15,hydrebad,mobile,learn data analytics
A1166,data analytics corse,92,4185,465.0,218.46,21,9,0.035,24.273333333333333,1567.0,2024-11-03,hyderbad,mobile,data analitics online
A1167,data analytics course,123,5964,994.0,213.9,17,6,0.047,35.65,1363.0,2024-11-03,hydrebad,desktop,data anaytics training
A1168,data analytcis course,86,5124,512.4,183.71,13,10,0.116,18.371000000000002,1137.0,2024-11-20,hyderabad,mobile,data anaytics training
A1169,data anlytics corse,117,4162,416.2,238.08,28,10,0.085,23.808,1186.0,2024-11-22,hydrebad,mobile,online data analytic
A1170,data analytcis course,146,4330,1443.3333333333333,191.9,20,3,0.021,63.96666666666667,1748.0,2024-11-09,hyderabad,mobile,online data analytic
A1171,data analytcis course,89,3268,817.0,213.9,17,4,0.045,53.475,1233.0,2024-11-13,hyderabad,desktop,online data analytic
A1172,data analytics course,195,3483,497.57142857142856,213.99,27,7,0.036,30.57,1796.0,2024-11-23,hyderabad,desktop,learn data analytics
A1173,data analytcis course,170,4519,645.5714285714286,240.63,22,7,0.041,34.37571428571429,1012.0,2024-11-27,hyderbad,mobile,analytics for data
A1174,data analytcis course,97,3605,515.0,240.29,21,7,0.045,34.32714285714285,1682.0,2024-11-10,hyderabad,desktop,data analitics online
A1175,data anlytics corse,159,5076,507.6,204.97,15,10,0.063,20.497,1638.0,2024-11-17,hyderbad,tablet,data analytics course
A1176,data anlytics corse,131,5352,535.2,225.86,24,10,0.047,22.586000000000002,1961.0,2024-11-20,hyderabad,mobile,online data analytic
A1177,data analytics corse,108,5503,786.1428571428571,185.26,11,7,0.065,26.465714285714284,1921.0,2024-11-06,hydrebad,mobile,data analitics online
A1178,data analytics course,93,4308,478.6666666666667,209.83,19,9,0.097,23.314444444444447,1694.0,2024-11-20,hyderabad,mobile,data analytics course
A1179,data analytcis course,137,3555,1185.0,213.5,29,3,0.047,71.16666666666667,1482.0,2024-11-06,hyderabad,desktop,data analytics course
A1180,data analytics corse,81,5615,935.8333333333334,193.14,30,6,0.074,32.19,1255.0,2024-11-28,hyderabad,mobile,analytics for data
A1181,data analytcis course,160,4743,474.3,206.22,23,10,0.062,20.622,1825.0,2024-11-20,hydrebad,mobile,learn data analytics
A1182,data anlytics corse,186,3337,417.125,183.58,16,8,0.043,22.9475,1045.0,2024-11-30,hyderabad,desktop,online data analytic
A1183,data analytcis course,105,3234,323.4,238.8,27,10,0.095,23.880000000000003,1248.0,2024-11-06,hyderbad,desktop,online data analytic
A1184,data analytcis course,131,3913,391.3,203.69,14,10,0.047,20.369,1079.0,2024-11-25,hyderbad,desktop,data anaytics training
A1185,data analytcis course,129,3208,401.0,204.2,18,8,0.032,25.525,1456.0,2024-11-29,hyderabad,desktop,learn data analytics
A1186,data anlytics corse,187,5972,853.1428571428571,220.64,30,7,0.037,31.52,1980.0,2024-11-14,hyderbad,desktop,data analytics course
A1187,data analytics corse,167,3662,523.1428571428571,235.43,10,7,0.042,33.63285714285714,1684.0,2024-11-25,hyderbad,mobile,data anaytics training
A1188,data analytics course,140,3359,479.85714285714283,182.13,29,7,0.045,26.018571428571427,1973.0,2024-11-28,hydrebad,desktop,data analitics online
A1189,data analytics corse,198,3700,740.0,220.67,14,5,0.047,44.134,1531.0,2024-11-10,hyderabad,mobile,analytics for data
A1190,data anlytics corse,196,3835,426.1111111111111,218.07,10,9,0.041,24.23,1871.0,2024-11-04,hyderabad,tablet,online data analytic
A1191,data analytics corse,140,5638,1127.6,208.02,22,5,0.047,41.604,1652.0,2024-11-18,hyderbad,desktop,data anaytics training
A1192,data analytics corse,157,5825,1941.6666666666667,230.6,16,3,0.019,76.86666666666666,1041.0,2024-11-16,hydrebad,desktop,data anaytics training
A1193,data analytics corse,91,5428,1809.3333333333333,248.38,11,3,0.033,82.79333333333334,1835.0,2024-11-22,hyderabad,tablet,learn data analytics
A1194,data analytcis course,140,3571,396.77777777777777,238.12,21,9,0.064,26.45777777777778,1762.0,2024-11-16,hyderabad,desktop,learn data analytics
A1195,data analytics course,154,3638,454.75,182.17,11,8,0.056,22.77125,1413.0,2024-11-04,hyderabad,mobile,online data analytic
A1196,data anlytics corse,133,4505,1501.6666666666667,200.52,23,3,0.039,66.84,1562.0,2024-11-26,hyderabad,tablet,analytics for data
A1197,data analytcis course,139,5016,557.3333333333334,238.59,26,9,0.047,26.51,1620.0,2024-11-20,hyderbad,mobile,data analitics online
A1198,data anlytics corse,141,3071,511.8333333333333,208.2,10,6,0.043,34.699999999999996,1647.0,2024-11-18,hydrebad,tablet,data analitics online
A1199,data anlytics corse,135,5682,1894.0,213.9,30,3,0.047,71.3,1445.0,2024-11-15,hyderbad,tablet,data anaytics training
A1200,data analytics corse,199,5067,633.375,247.38,24,8,0.059,30.9225,1365.0,2024-11-19,hyderbad,mobile,analytics for data
A1201,data analytcis course,138,3971,1323.6666666666667,184.87,28,3,0.022,61.623333333333335,1718.0,2024-11-07,hyderbad,tablet,learn data analytics
